emoji,channel,sentiment,re_emoji
:),,pos,:\)
：）,,pos,：\）
:-),,pos,:-\)
:-D,,pos,:-D
:-P,,pos,:-P
;-),,pos,;-\)
☻,,pos,☻
♡,,pos,♡
WOW,,pos,WOW
wow,,pos,wow
Wow,,pos,Wow
\^\w\^,,pos,\^\w\^
\^_+\^,,pos,\^_+\^
⊙\w⊙,,pos,⊙\w⊙
∩\w∩,,pos,∩\w∩
≧\w+≦,,pos,≧\w+≦
>\w+<,,pos,>\w+<
~~~+,,pos,~~~+
��,,pos,😀
��,,pos,😃
��,,pos,😄
��,,pos,😁
��,,pos,😆
��,,pos,😅
��,,pos,🤣
��,,pos,😂
��,,pos,🙂
��,,pos,😉
��,,pos,😊
��,,pos,😇
��,,pos,🥰
��,,pos,😍
��,,pos,🤩
��,,pos,😘
��,,pos,😗
☺️,,pos,☺️
��,,pos,😚
��,,pos,😙
��,,pos,😋
��,,pos,😛
��,,pos,😜
��,,pos,🤪
��,,pos,😝
��,,pos,🤑
��,,pos,🤗
��,,pos,🤭
��,,pos,😏
��,,pos,🤤
��,,pos,🥳
��,,pos,😎
��,,pos,😸
��,,pos,😹
��,,pos,😻
��,,pos,😼
��,,pos,😽
��,,pos,💋
��,,pos,💌
��,,pos,💘
��,,pos,💝
��,,pos,💖
��,,pos,💗
��,,pos,💓
��,,pos,💞
��,,pos,💕
��,,pos,💟
❣️,,pos,❣️
❤️,,pos,❤️
��,,pos,🧡
��,,pos,💛
��,,pos,💚
��,,pos,💙
��,,pos,💜
��,,pos,💯
✌️,,pos,✌️
��,,pos,🤟
��,,pos,👍
��,,pos,👏
��,,pos,💪
��,,pos,💏
��‍❤️‍💋‍👨,,pos,👩‍❤️‍💋‍👨
��‍❤️‍💋‍👨,,pos,👨‍❤️‍💋‍👨
��‍❤️‍💋‍👩,,pos,👩‍❤️‍💋‍👩
��,,pos,💑
��‍❤️‍👨,,pos,👩‍❤️‍👨
��‍❤️‍👨,,pos,👨‍❤️‍👨
��‍❤️‍👩,,pos,👩‍❤️‍👩
��,,pos,💐
��,,pos,🌸
��,,pos,💮
��️,,pos,🏵️
��,,pos,🌹
��,,pos,🌺
��,,pos,🌻
��,,pos,🌼
��,,pos,🌷
��,,pos,🌈
��,,pos,🎃
��,,pos,🎄
��,,pos,🎆
��,,pos,🎇
��,,pos,🧨
✨,,pos,✨
��,,pos,🎈
��,,pos,🎉
��,,pos,🎊
��,,pos,🎋
��,,pos,🎍
��,,pos,🎑
��,,pos,🧧
��,,pos,🎀
��,,pos,🎁
��️,,pos,🎖️
��,,pos,🏆
��,,pos,🏅
��,,pos,🥇
��,,pos,🥈
��,,pos,🥉
✅,,pos,✅
☑️,,pos,☑️
✔️,,pos,✔️
㊗️,,pos,㊗️
♥️,,pos,♥️
��,,neu,😰
��,,neu,😥
��,,neu,😖
��,,neu,😣
��,,neu,😞
��,,neu,😩
��,,neu,😫
��,,neg,😤
��,,neg,😡
��,,neg,😠
��,,neg,🤬
��,,neg,👿
��,,neg,👎
��,,neg,💔
❤️‍🔥,,pos,❤️‍🔥
❤️‍🩹,,neg,❤️‍🩹
❌,,neg,❌
❎,,neg,❎
[比心],douyin,pos,\[比心\]
[微笑R],xiaohongshu,pos,\[微笑R\]
[色色R],xiaohongshu,pos,\[色色R\]
[surprised],tiktok,pos,\[surprised\]
[哇],wechat,pos,\[哇\]
[萌萌哒R],xiaohongshu,pos,\[萌萌哒R\]
[good],weibo,pos,\[good\]
[让我看看],wechat,neu,\[让我看看\]
[complacent],tiktok,pos,\[complacent\]
[暗中观察R],xiaohongshu,neu,\[暗中观察R\]
[送心],douyin,pos,\[送心\]
[鲜花],weibo,pos,\[鲜花\]
[喝奶茶R],xiaohongshu,pos,\[喝奶茶R\]
[灵机一动],douyin,pos,\[灵机一动\]
[wronged],tiktok,neg,\[wronged\]
[喵喵],weibo,pos,\[喵喵\]
[Emm],wechat,neu,\[Emm\]
[不失礼貌的微笑],douyin,neu,\[不失礼貌的微笑\]
[社会社会],wechat,pos,\[社会社会\]
[黄金薯R],xiaohongshu,pos,\[黄金薯R\]
[facewithrollingeyes],tiktok,neu,\[facewithrollingeyes\]
[weep],tiktok,neu,\[weep\]
[抱一抱],weibo,pos,\[抱一抱\]
[wicked],tiktok,neu,\[wicked\]
[兔子],weibo,pos,\[兔子\]
[污],weibo,neu,\[污\]
[Doge],wechat,pos,\[Doge\]
[买爆R],xiaohongshu,pos,\[买爆R\]
[合十],wechat,pos,\[合十\]
[抱抱],weibo,pos,\[抱抱\]
[跳跳],wechat,pos,\[跳跳\]
[awsl],weibo,pos,\[awsl\]
[转圈],wechat,pos,\[转圈\]
[尬笑],douyin,pos,\[尬笑\]
[好爱哦],weibo,pos,\[好爱哦\]
[扯脸H],xiaohongshu,neu,\[扯脸H\]
[呆无辜],douyin,neu,\[呆无辜\]
[embarrassed],tiktok,neu,\[embarrassed\]
[笑而不语],weibo,pos,\[笑而不语\]
[sulk],tiktok,neu,\[sulk\]
[一起加油],douyin,pos,\[一起加油\]
[求关注],weibo,pos,\[求关注\]
[流汗],wechat,neu,\[流汗\]
[生气R],xiaohongshu,neg,\[生气R\]
[黑脸],douyin,neu,\[黑脸\]
[赞啊],weibo,pos,\[赞啊\]
[单身狗],weibo,neu,\[单身狗\]
[自拍R],xiaohongshu,pos,\[自拍R\]
[得意R],xiaohongshu,pos,\[得意R\]
[Hurt],wechat,neu,\[Hurt\]
[吧唧R],xiaohongshu,pos,\[吧唧R\]
[并不简单],weibo,pos,\[并不简单\]
[春游家族],weibo,pos,\[春游家族\]
[玉兔],weibo,pos,\[玉兔\]
[笑哈哈],weibo,pos,\[笑哈哈\]
[庆祝],wechat,pos,\[庆祝\]
[偷乐],weibo,pos,\[偷乐\]
[中国赞],weibo,pos,\[中国赞\]
[Lol],wechat,pos,\[Lol\]
[Sob],wechat,neu,\[Sob\]
[作揖],weibo,pos,\[作揖\]
[微风],weibo,pos,\[微风\]
[LetMeSee],wechat,neu,\[LetMeSee\]
[发抖],wechat,neu,\[发抖\]
[吐舌头H],xiaohongshu,pos,\[吐舌头H\]
[绝望的凝视],douyin,neu,\[绝望的凝视\]
[酷拽],douyin,neu,\[酷拽\]
[怄火],wechat,neu,\[怄火\]
[求饶],weibo,neu,\[求饶\]
[爱慕],douyin,pos,\[爱慕\]
[流淚],wechat,neu,\[流淚\]
[天啊],wechat,pos,\[天啊\]
[酸],weibo,pos,\[酸\]
[haha],weibo,pos,\[haha\]
[抓狂R],xiaohongshu,neg,\[抓狂R\]
[shout],tiktok,neu,\[shout\]
[掩面],wechat,pos,\[掩面\]
[加油加油],wechat,pos,\[加油加油\]
[Drool],wechat,pos,\[Drool\]
[Wow],wechat,pos,\[Wow\]
[叹气R],xiaohongshu,neu,\[叹气R\]
[挖鼻],weibo,neu,\[挖鼻\]
[Smirk],wechat,pos,\[Smirk\]
[傲慢],wechat,neu,\[傲慢\]
[Grin],wechat,pos,\[Grin\]
[吃瓜R],xiaohongshu,pos,\[吃瓜R\]
[笑脸],wechat,pos,\[笑脸\]
[tears],tiktok,neu,\[tears\]
[Hey],wechat,pos,\[Hey\]
[stun],tiktok,neu,\[stun\]
[Heart],wechat,pos,\[Heart\]
[抠鼻R],xiaohongshu,neu,\[抠鼻R\]
[凋谢],wechat,neg,\[凋谢\]
[可怜R],xiaohongshu,neu,\[可怜R\]
[费解],weibo,neu,\[费解\]
[杰瑞],weibo,pos,\[杰瑞\]
[Rose],wechat,pos,\[Rose\]
[Chuckle],wechat,pos,\[Chuckle\]
[鸡],wechat,pos,\[鸡\]
[扶墙R],xiaohongshu,neg,\[扶墙R\]
[Smart],wechat,pos,\[Smart\]
[cool],tiktok,pos,\[cool\]
[震惊],douyin,neu,\[震惊\]
[ThumbsUp],wechat,pos,\[ThumbsUp\]
[怒],weibo,neg,\[怒\]
[来看我],douyin,pos,\[来看我\]
[黑薯问号R],xiaohongshu,neu,\[黑薯问号R\]
[smileface],tiktok,pos,\[smileface\]
[greedy],tiktok,pos,\[greedy\]
[大金牙],douyin,pos,\[大金牙\]
[威武],weibo,pos,\[威武\]
[冷汗],wechat,neu,\[冷汗\]
[proud],tiktok,pos,\[proud\]
[Broken],wechat,neu,\[Broken\]
[shock],tiktok,neu,\[shock\]
[干杯],weibo,pos,\[干杯\]
[Party],wechat,pos,\[Party\]
[牛哞哞],weibo,pos,\[牛哞哞\]
[掌宝荧光棒],weibo,pos,\[掌宝荧光棒\]
[Respect],wechat,pos,\[Respect\]
[Onlooker],wechat,pos,\[Onlooker\]
[掌宝爱心],weibo,pos,\[掌宝爱心\]
[GoForIt],wechat,pos,\[GoForIt\]
[愛心],wechat,pos,\[愛心\]
[小鼓掌],douyin,pos,\[小鼓掌\]
[拜拜],weibo,pos,\[拜拜\]
[哆啦A梦吃惊],weibo,neu,\[哆啦A梦吃惊\]
[胡瓜],douyin,neu,\[胡瓜\]
[難受],wechat,neu,\[難受\]
[暖一下],weibo,pos,\[暖一下\]
[灵光一闪],"wechat,douyin",pos,\[灵光一闪\]
[Blush],wechat,neu,\[Blush\]
[我想静静],douyin,neu,\[我想静静\]
[NoProb],wechat,pos,\[NoProb\]
[航天员],weibo,pos,\[航天员\]
[熊猫],weibo,pos,\[熊猫\]
[讓我看看],wechat,neu,\[讓我看看\]
[紫薇别走],douyin,neu,\[紫薇别走\]
[围观],weibo,pos,\[围观\]
[脸红],wechat,neu,\[脸红\]
[Concerned],wechat,neu,\[Concerned\]
[吼嘿],wechat,pos,\[吼嘿\]
[惊恐R],xiaohongshu,neg,\[惊恐R\]
[Sigh],wechat,neu,\[Sigh\]
[Fireworks],wechat,pos,\[Fireworks\]
[祈祷],douyin,pos,\[祈祷\]
[鄙视R],xiaohongshu,neu,\[鄙视R\]
[一言難盡],wechat,neu,\[一言難盡\]
[摸头],douyin,pos,\[摸头\]
[绝],douyin,pos,\[绝\]
[巧克力],douyin,pos,\[巧克力\]
[Joyful],wechat,pos,\[Joyful\]
[不看],douyin,neu,\[不看\]
[红脸],douyin,neu,\[红脸\]
[Salute],wechat,pos,\[Salute\]
[来],weibo,pos,\[来\]
[Whimper],wechat,neu,\[Whimper\]
[rage],tiktok,neg,\[rage\]
[Smile],wechat,pos,\[Smile\]
[怒骂],weibo,neg,\[怒骂\]
[飞机],weibo,pos,\[飞机\]
[钢铁侠],weibo,pos,\[钢铁侠\]
[再见R],xiaohongshu,pos,\[再见R\]
[吃惊],weibo,neu,\[吃惊\]
[淚],weibo,neu,\[淚\]
[吐血],douyin,neu,\[吐血\]
[带着微博去旅行],weibo,pos,\[带着微博去旅行\]
[蜡烛],weibo,pos,\[蜡烛\]
[如花],douyin,pos,\[如花\]
[音乐],weibo,pos,\[音乐\]
[evil],tiktok,neg,\[evil\]
[吃瓜群众],douyin,pos,\[吃瓜群众\]
[slap],tiktok,neu,\[slap\]
[惊呆],douyin,neu,\[惊呆\]
[大侦探皮卡丘微笑],weibo,pos,\[大侦探皮卡丘微笑\]
[CoolGuy],wechat,pos,\[CoolGuy\]
[強],wechat,pos,\[強\]
[浩克],weibo,pos,\[浩克\]
[iloveyou],douyin,pos,\[iloveyou\]
[吐彩虹],douyin,neu,\[吐彩虹\]
[哆啦A梦花心],weibo,pos,\[哆啦A梦花心\]
[感冒],weibo,neu,\[感冒\]
[Hug],wechat,pos,\[Hug\]
[Boring],wechat,neu,\[Boring\]
[Cry],wechat,neu,\[Cry\]
[弗莱见钱眼开],weibo,pos,\[弗莱见钱眼开\]
[浮云],weibo,pos,\[浮云\]
[美国队长],weibo,pos,\[美国队长\]
[男孩儿],weibo,pos,\[男孩儿\]
[无语],wechat,neu,\[无语\]
[女孩儿],weibo,pos,\[女孩儿\]
[生而为赢],weibo,pos,\[生而为赢\]
[顶],weibo,neu,\[顶\]
[Grimace],wechat,neu,\[Grimace\]
[惊奇队长],weibo,pos,\[惊奇队长\]
[蜘蛛侠],weibo,pos,\[蜘蛛侠\]
[浪],weibo,pos,\[浪\]
[微笑袋鼠],douyin,pos,\[微笑袋鼠\]
[皺眉],wechat,neu,\[皺眉\]
[击掌],douyin,pos,\[击掌\]
[Worship],wechat,pos,\[Worship\]
[Twirl],wechat,pos,\[Twirl\]
[鹰眼],weibo,pos,\[鹰眼\]
[话筒],weibo,pos,\[话筒\]
[掌宝加油],weibo,pos,\[掌宝加油\]
[奇异博士],weibo,pos,\[奇异博士\]
[菜刀],wechat,neg,\[菜刀\]
[沙尘暴],weibo,pos,\[沙尘暴\]
[斜眼],douyin,neu,\[斜眼\]
[Trick],wechat,pos,\[Trick\]
[哆啦A梦无奈],weibo,neu,\[哆啦A梦无奈\]
[放假],weibo,pos,\[放假\]
[钟],weibo,pos,\[钟\]
[空星],weibo,pos,\[空星\]
[凝视],douyin,pos,\[凝视\]
[崩潰],wechat,neu,\[崩潰\]
[黑寡妇],weibo,pos,\[黑寡妇\]
[Waddle],wechat,pos,\[Waddle\]
[發],wechat,pos,\[發\]
[哆啦A梦汗],weibo,neu,\[哆啦A梦汗\]
[灭霸],weibo,pos,\[灭霸\]
[胖丁微笑],weibo,pos,\[胖丁微笑\]
[冬兵],weibo,pos,\[冬兵\]
[粽子],douyin,pos,\[粽子\]
[求抱抱],douyin,pos,\[求抱抱\]
[蚁人],weibo,pos,\[蚁人\]
[无限手套],weibo,pos,\[无限手套\]
[奥克耶],weibo,pos,\[奥克耶\]
[哆啦A梦美味],weibo,pos,\[哆啦A梦美味\]
[哆啦A梦开心],weibo,pos,\[哆啦A梦开心\]
[失敬失敬],wechat,pos,\[失敬失敬\]
[听歌],douyin,pos,\[听歌\]
[洛基],weibo,pos,\[洛基\]
[半星],weibo,pos,\[半星\]
[螳螂妹],weibo,pos,\[螳螂妹\]
[哆啦A梦笑],weibo,pos,\[哆啦A梦笑\]
[照相机],weibo,pos,\[照相机\]
[睡觉R],xiaohongshu,pos,\[睡觉R\]
[NosePick],wechat,neu,\[NosePick\]
[米妮开心],weibo,pos,\[米妮开心\]
[做鬼脸],douyin,pos,\[做鬼脸\]
[吃西瓜],wechat,pos,\[吃西瓜\]
[發呆],wechat,neu,\[發呆\]
[最右],weibo,neu,\[最右\]
[围脖],weibo,pos,\[围脖\]
[五仁月饼],weibo,pos,\[五仁月饼\]
[摳鼻],wechat,neu,\[摳鼻\]
[花心],weibo,pos,\[花心\]
[格鲁特],weibo,pos,\[格鲁特\]
[紫金草],weibo,pos,\[紫金草\]
[米奇大哭],weibo,neu,\[米奇大哭\]
[雷神],weibo,pos,\[雷神\]
[掌宝卖萌],weibo,pos,\[掌宝卖萌\]
[碰拳],douyin,pos,\[碰拳\]
[猩红女巫],weibo,pos,\[猩红女巫\]
[下雨],weibo,pos,\[下雨\]
[星爵],weibo,pos,\[星爵\]
[神马],weibo,pos,\[神马\]
[胖虎微笑],weibo,pos,\[胖虎微笑\]
[世界微尘里],weibo,pos,\[世界微尘里\]
[Bye],wechat,neu,\[Bye\]
[肥皂],weibo,pos,\[肥皂\]
[喜],weibo,pos,\[喜\]
[哆啦A梦亲亲],weibo,pos,\[哆啦A梦亲亲\]
[看跌],weibo,pos,\[看跌\]
[小夫微笑],weibo,pos,\[小夫微笑\]
[马到成功],weibo,pos,\[马到成功\]
[绿丝带],weibo,pos,\[绿丝带\]
[星星],weibo,pos,\[星星\]
[Aloha],weibo,pos,\[Aloha\]
[OMG],wechat,pos,\[OMG\]
[必胜],douyin,pos,\[必胜\]
[Kiss],wechat,pos,\[Kiss\]
[TearingUp],wechat,neu,\[TearingUp\]
[擁抱],wechat,pos,\[擁抱\]
[佩奇],weibo,pos,\[佩奇\]
[便便],wechat,neu,\[便便\]
[Sly],wechat,pos,\[Sly\]
[炸弹],wechat,pos,\[炸弹\]
[大雄微笑],weibo,pos,\[大雄微笑\]
[伴我同行],weibo,pos,\[伴我同行\]
[米妮爱你],weibo,pos,\[米妮爱你\]
[MyBad],wechat,neu,\[MyBad\]
[静香微笑],weibo,pos,\[静香微笑\]
[黑豹],weibo,pos,\[黑豹\]
[發抖],wechat,neu,\[發抖\]
[米妮酷炫],weibo,pos,\[米妮酷炫\]
[歐耶],wechat,pos,\[歐耶\]
[圣诞老人],weibo,pos,\[圣诞老人\]
[機智],wechat,pos,\[機智\]
[掌宝星星眼],weibo,pos,\[掌宝星星眼\]
[织],weibo,pos,\[织\]
[勝利],wechat,pos,\[勝利\]
[Laugh],wechat,pos,\[Laugh\]
[Scowl],wechat,neu,\[Scowl\]
[冲锋队员],weibo,pos,\[冲锋队员\]
[加好友],douyin,pos,\[加好友\]
[幻视],weibo,pos,\[幻视\]
[看涨],weibo,pos,\[看涨\]
[文明遛狗],weibo,pos,\[文明遛狗\]
[草泥马],weibo,pos,\[草泥马\]
[情书],douyin,pos,\[情书\]
[水稻],weibo,pos,\[水稻\]
[米奇喜欢],weibo,pos,\[米奇喜欢\]
[米妮紧张],weibo,pos,\[米妮紧张\]
[Clap],wechat,pos,\[Clap\]
[炸鸡啤酒],weibo,pos,\[炸鸡啤酒\]
[V5],douyin,pos,\[V5\]
[三三蹦跳],weibo,pos,\[三三蹦跳\]
[2021],weibo,pos,\[2021\]
[气球],douyin,pos,\[气球\]
[可乐],weibo,pos,\[可乐\]
[牛轰轰拥抱],weibo,pos,\[牛轰轰拥抱\]
[熊吉],douyin,pos,\[熊吉\]
[再見],wechat,neu,\[再見\]
[火],douyin,pos,\[火\]
[Tremble],wechat,neu,\[Tremble\]
[Happy],wechat,pos,\[Happy\]
[嘆息],wechat,neu,\[嘆息\]
[Blessing],wechat,pos,\[Blessing\]
[握爪],douyin,pos,\[握爪\]
[转发],weibo,pos,\[转发\]
[勤洗手],douyin,pos,\[勤洗手\]
[红灯笼],weibo,pos,\[红灯笼\]
[吃狗粮],weibo,pos,\[吃狗粮\]
[冷漠],douyin,neu,\[冷漠\]
[戴口罩],douyin,pos,\[戴口罩\]
[我酸了],douyin,pos,\[我酸了\]
[Determined],wechat,pos,\[Determined\]
[Angry],wechat,neg,\[Angry\]
[Firecracker],wechat,pos,\[Firecracker\]
[ali做鬼脸],weibo,pos,\[ali做鬼脸\]
[ala么么],weibo,pos,\[ala么么\]
[为爱发光],weibo,pos,\[为爱发光\]
[牛牛哒],weibo,pos,\[牛牛哒\]
[推荐],weibo,pos,\[推荐\]
[飞镖黄跳舞],weibo,pos,\[飞镖黄跳舞\]
[陰險],wechat,pos,\[陰險\]
[Shocked],wechat,neu,\[Shocked\]
[KeepFighting],wechat,pos,\[KeepFighting\]
[Sweat],wechat,pos,\[Sweat\]
[悲傷],weibo,neu,\[悲傷\]
[掌宝可怜],weibo,pos,\[掌宝可怜\]
[打臉],wechat,neu,\[打臉\]
[牡丹],weibo,pos,\[牡丹\]
[撒花],douyin,pos,\[撒花\]
[Lips],wechat,pos,\[Lips\]
[Sweats],wechat,neu,\[Sweats\]
[LetDown],wechat,neu,\[LetDown\]
[BOBO爱你],weibo,pos,\[BOBO爱你\]
[达斯维达],weibo,pos,\[达斯维达\]
[Beckon],wechat,pos,\[Beckon\]
[萌翻],weibo,pos,\[萌翻\]
[轉圈],wechat,pos,\[轉圈\]
[Duh],wechat,neu,\[Duh\]
[胡巴伤心],weibo,neu,\[胡巴伤心\]
[難過],wechat,neu,\[難過\]
[BrokenHeart],wechat,neg,\[BrokenHeart\]
[Sick],wechat,neu,\[Sick\]
[Wilt],wechat,neg,\[Wilt\]
[扎心],douyin,neu,\[扎心\]
[炸鸡腿],weibo,pos,\[炸鸡腿\]
[爱],"wechat,weibo",pos,\[爱\]
[Frown],wechat,neu,\[Frown\]
[Shrunken],wechat,neu,\[Shrunken\]
[小V生气],weibo,pos,\[小V生气\]
[Flushed],wechat,neu,\[Flushed\]
[左上],douyin,neu,\[左上\]
[吻],douyin,pos,\[吻\]
[尷尬],wechat,neu,\[尷尬\]
[小黄人惊讶],weibo,pos,\[小黄人惊讶\]
[右边],douyin,neu,\[右边\]
[ali不公平],weibo,neu,\[ali不公平\]
[Tongue],wechat,pos,\[Tongue\]
[ali吐血],weibo,neu,\[ali吐血\]
[din抓狂],weibo,neu,\[din抓狂\]
[Sun],wechat,pos,\[Sun\]
[BB8],weibo,pos,\[BB8\]
[小黄人委屈],weibo,neu,\[小黄人委屈\]
[小黄人无奈],weibo,neu,\[小黄人无奈\]
[小黄人微笑],weibo,pos,\[小黄人微笑\]
[哪吒开心],weibo,pos,\[哪吒开心\]
[悠閑],wechat,neu,\[悠閑\]
[丘巴卡],weibo,pos,\[丘巴卡\]
[Shake],wechat,pos,\[Shake\]
[小丑],weibo,pos,\[小丑\]
[冰雪奇缘艾莎],weibo,pos,\[冰雪奇缘艾莎\]
[ali冤],weibo,neu,\[ali冤\]
[我爱爸爸],weibo,pos,\[我爱爸爸\]
[胖红生气],weibo,pos,\[胖红生气\]
[BOBO赞],weibo,pos,\[BOBO赞\]
[睡大觉],weibo,pos,\[睡大觉\]
[ali风筝],weibo,pos,\[ali风筝\]
[金牛],weibo,pos,\[金牛\]
[ali想],weibo,pos,\[ali想\]
[ali鲜花],weibo,pos,\[ali鲜花\]
[怕怕],weibo,neu,\[怕怕\]
[R2D2],weibo,pos,\[R2D2\]
[din拍手],weibo,pos,\[din拍手\]
[ko],tiktok,pos,\[ko\]
[欢腾去爱],weibo,pos,\[欢腾去爱\]
[飞个吻],weibo,pos,\[飞个吻\]
[小黄人得意],weibo,pos,\[小黄人得意\]
[欢乐购车季],weibo,pos,\[欢乐购车季\]
[放电抛媚],weibo,pos,\[放电抛媚\]
[爆发],weibo,pos,\[爆发\]
[大毛惊讶],weibo,pos,\[大毛惊讶\]
[灯笼],douyin,pos,\[灯笼\]
[千古玦尘],weibo,pos,\[千古玦尘\]
[Shhh],wechat,neu,\[Shhh\]
[Terror],wechat,neu,\[Terror\]
[戒指],douyin,pos,\[戒指\]
[能量少女耶],weibo,pos,\[能量少女耶\]
[炸弹黑hi],weibo,pos,\[炸弹黑hi\]
[鼾睡],douyin,neu,\[鼾睡\]
[点亮橙色],weibo,pos,\[点亮橙色\]
[小黄人不屑],weibo,neg,\[小黄人不屑\]
[超人爸爸],weibo,pos,\[超人爸爸\]
[去污粉],douyin,neg,\[去污粉\]
[小黄人坏笑],weibo,pos,\[小黄人坏笑\]
[海王],weibo,pos,\[海王\]
[Rich],wechat,pos,\[Rich\]
[佐伊卖萌],weibo,pos,\[佐伊卖萌\]
[凯洛伦],weibo,pos,\[凯洛伦\]
[酷炫街舞给手],weibo,pos,\[酷炫街舞给手\]
[調皮],wechat,pos,\[調皮\]
[bobo抓狂],weibo,neu,\[bobo抓狂\]
[掌宝哭泣],weibo,pos,\[掌宝哭泣\]
[親親],wechat,pos,\[親親\]
[噢耶],weibo,pos,\[噢耶\]
[白羊],weibo,pos,\[白羊\]
[金榜题名],weibo,pos,\[金榜题名\]
[高考必胜],weibo,pos,\[高考必胜\]
[狮子王],weibo,pos,\[狮子王\]
[正义联盟logo],weibo,pos,\[正义联盟logo\]
[ali送礼物],weibo,pos,\[ali送礼物\]
[发呆中],weibo,neu,\[发呆中\]
[给跪了],douyin,neu,\[给跪了\]
[调休],weibo,pos,\[调休\]
[电视机],weibo,pos,\[电视机\]
[风],weibo,pos,\[风\]
[阴天],weibo,neu,\[阴天\]
[gbz得意],weibo,pos,\[gbz得意\]
[gbz真穿越],weibo,pos,\[gbz真穿越\]
[发],douyin,pos,\[发\]
[胖红微笑],weibo,pos,\[胖红微笑\]
[左边],douyin,neu,\[左边\]
[哪吒得意],weibo,pos,\[哪吒得意\]
[汤姆],weibo,pos,\[汤姆\]
[小黄人高兴],weibo,pos,\[小黄人高兴\]
[雪花],weibo,pos,\[雪花\]
[牛大发],weibo,pos,\[牛大发\]
[加鸡腿],douyin,pos,\[加鸡腿\]
[小黄人白眼],weibo,neu,\[小黄人白眼\]
[糗大了],wechat,neu,\[糗大了\]
[Smug],wechat,neu,\[Smug\]
[暈],wechat,neu,\[暈\]
[Pig],wechat,pos,\[Pig\]
[奮鬥],wechat,pos,\[奮鬥\]
[哪吒委屈],weibo,neu,\[哪吒委屈\]
[ala爱国],weibo,pos,\[ala爱国\]
[ali转圈哭],weibo,pos,\[ali转圈哭\]
[加油啊],weibo,pos,\[加油啊\]
[ali蹭],weibo,pos,\[ali蹭\]
[ali来吧],weibo,pos,\[ali来吧\]
