,emoji,channel,sentiment,re_emoji
839,[奶瓶],weibo,pos,\[奶瓶\]
840,[百事可乐],weibo,pos,\[百事可乐\]
841,[微笑趣泡],weibo,pos,\[微笑趣泡\]
842,[红围脖],weibo,pos,\[红围脖\]
843,[2022],weibo,pos,\[2022\]
844,[小雪人],weibo,pos,\[小雪人\]
845,[雪刀],weibo,pos,\[雪刀\]
846,[风起洛阳],weibo,pos,\[风起洛阳\]
847,[开学季],weibo,pos,\[开学季\]
848,[赢牛奶],weibo,pos,\[赢牛奶\]
849,[心],weibo,pos,\[心\]
850,[伤心],weibo,neg,\[伤心\]
851,[赞],weibo,pos,\[赞\]
852,[ok],weibo,pos,\[ok\]
853,[奥特曼],weibo,pos,\[奥特曼\]
854,[给力],weibo,pos,\[给力\]
855,[羞嗒嗒],weibo,pos,\[羞嗒嗒\]
856,[好喜欢],weibo,pos,\[好喜欢\]
857,[圣诞老人111],weibo,pos,\[圣诞老人111\]
858,[五仁月饼_旧],weibo,pos,\[五仁月饼_旧\]
859,[给你小心心],weibo,pos,\[给你小心心\]
860,[圣诞袜],weibo,pos,\[圣诞袜\]
861,[圣诞帽],weibo,pos,\[圣诞帽\]
862,[平安果],weibo,pos,\[平安果\]
863,[姜饼人],weibo,pos,\[姜饼人\]
864,[欢度国庆],weibo,pos,\[欢度国庆\]
865,[七夕布谷鸟],weibo,pos,\[七夕布谷鸟\]
866,[撒狗粮],weibo,pos,\[撒狗粮\]
867,[求脱单],weibo,pos,\[求脱单\]
868,[这就是街舞3],weibo,pos,\[这就是街舞3\]
869,[毛巾助力],weibo,pos,\[毛巾助力\]
870,[超新星运动会],weibo,pos,\[超新星运动会\]
871,[父与子],weibo,pos,\[父与子\]
872,[棒棒糖],weibo,pos,\[棒棒糖\]
873,[纸飞机],weibo,pos,\[纸飞机\]
874,[锦鲤],weibo,pos,\[锦鲤\]
875,[绿植领养],weibo,pos,\[绿植领养\]
876,[绿植挖土],weibo,pos,\[绿植挖土\]
877,[绿植托脸],weibo,pos,\[绿植托脸\]
878,[绿植乖巧],weibo,pos,\[绿植乖巧\]
879,[C3PO],weibo,pos,\[C3PO\]
880,[哆啦A梦害怕],weibo,neg,\[哆啦A梦害怕\]
881,[哆啦A梦微笑],weibo,pos,\[哆啦A梦微笑\]
882,[小黄人剪刀手],weibo,pos,\[小黄人剪刀手\]
883,[害羞R],xiaohongshu,pos,\[害羞R\]
884,[失望R],xiaohongshu,neu,\[失望R\]
885,[汗颜R],xiaohongshu,neu,\[汗颜R\]
886,[哇R],xiaohongshu,pos,\[哇R\]
887,[偷笑R],xiaohongshu,pos,\[偷笑R\]
888,[飞吻R],xiaohongshu,pos,\[飞吻R\]
889,[石化R],xiaohongshu,neg,\[石化R\]
890,[笑哭R],xiaohongshu,pos,\[笑哭R\]
891,[赞R],xiaohongshu,pos,\[赞R\]
892,[大笑R],xiaohongshu,pos,\[大笑R\]
893,[哭惹R],xiaohongshu,neu,\[哭惹R\]
894,[斜眼R],xiaohongshu,pos,\[斜眼R\]
895,[皱眉R],xiaohongshu,pos,\[皱眉R\]
896,[捂脸R],xiaohongshu,pos,\[捂脸R\]
897,[派对R],xiaohongshu,pos,\[派对R\]
898,[色色],xiaohongshu,pos,\[色色\]
899,[石化],xiaohongshu,neg,\[石化\]
900,[candy],douyin,pos,\[candy\]
901,[糖葫芦],douyin,pos,\[糖葫芦\]
902,[虎头],douyin,pos,\[虎头\]
903,[饺子],douyin,pos,\[饺子\]
904,[鞭炮],douyin,pos,\[鞭炮\]
905,[元宝],douyin,pos,\[元宝\]
906,[汤圆],douyin,pos,\[汤圆\]
907,[yyds],douyin,pos,\[yyds\]
908,[emo],douyin,pos,\[emo\]
909,[雪人],douyin,pos,\[雪人\]
910,[圣诞树],douyin,pos,\[圣诞树\]
911,[蕉绿],douyin,neu,\[蕉绿\]
912,[屎],douyin,neu,\[屎\]
913,[我太难了],douyin,neu,\[我太难了\]
914,[18禁],douyin,neg,\[18禁\]
915,[强壮],douyin,pos,\[强壮\]
916,[惊喜],douyin,pos,\[惊喜\]
917,[绿帽子],douyin,neu,\[绿帽子\]
918,[暗中观察],douyin,pos,\[暗中观察\]
919,[菜狗],douyin,pos,\[菜狗\]
920,[干饭人],douyin,pos,\[干饭人\]
921,[吐舌],douyin,neu,\[吐舌\]
922,[看],douyin,pos,\[看\]
923,[笑哭],douyin,pos,\[笑哭\]
924,[泪奔],douyin,pos,\[泪奔\]
925,[感谢],douyin,pos,\[感谢\]
926,[泣不成声],douyin,pos,\[泣不成声\]
927,[超话],comments,pos,\[超话\]
928,[米奇比心],comments,pos,\[米奇比心\]
929,[小红花],comments,pos,\[小红花\]
930,[迷雾剧场],comments,pos,\[迷雾剧场\]
931,[桃花],comments,pos,\[桃花\]
932,[五仁月饼新],comments,pos,\[五仁月饼新\]
933,[圆月],comments,pos,\[圆月\]
934,[開學季],comments,pos,\[開學季\]
935,[ali亲一个],comments,pos,\[ali亲一个\]
936,[米奇飞吻],comments,pos,\[米奇飞吻\]
937,[呵呵],comments,pos,\[呵呵\]
938,[ali美好],comments,pos,\[ali美好\]
939,[冰雪奇缘雪宝],comments,pos,\[冰雪奇缘雪宝\]
940,[米奇爱你],comments,pos,\[米奇爱你\]
941,[可愛],comments,pos,\[可愛\]
942,[贊],comments,pos,\[贊\]
943,[太開心],comments,pos,\[太開心\]
944,[鮮花],comments,pos,\[鮮花\]
945,[饞嘴],comments,pos,\[饞嘴\]
946,[給你小心心],comments,pos,\[給你小心心\]
947,[贏牛奶],comments,pos,\[贏牛奶\]
948,[好喜歡],comments,pos,\[好喜歡\]
949,[超話],comments,pos,\[超話\]
950,[擠眼],comments,pos,\[擠眼\]
951,[好愛哦],comments,pos,\[好愛哦\]
952,[笑而不語],comments,pos,\[笑而不語\]
953,[求關注],comments,pos,\[求關注\]
954,[贊啊],comments,pos,\[贊啊\]
955,[單身狗],comments,neu,\[單身狗\]
956,[並不簡單],comments,pos,\[並不簡單\]
957,[春遊家族],comments,pos,\[春遊家族\]
958,[給力],comments,pos,\[給力\]
959,[偷樂],comments,pos,\[偷樂\]
960,[中國贊],comments,pos,\[中國贊\]
961,[微風],comments,pos,\[微風\]
962,[小紅花],comments,pos,\[小紅花\]
963,[求饒],comments,pos,\[求饒\]
964,[裂開],comments,neu,\[裂開\]
965,[奧特曼],comments,pos,\[奧特曼\]
966,[費解],comments,neu,\[費解\]
967,[攤手],comments,neu,\[攤手\]
968,[傑瑞],comments,pos,\[傑瑞\]
969,[黑線],comments,neu,\[黑線\]
970,[乾杯],comments,pos,\[乾杯\]
971,[迷霧劇場],comments,pos,\[迷霧劇場\]
972,[掌寶熒光棒],comments,pos,\[掌寶熒光棒\]
973,[掌寶愛心],comments,pos,\[掌寶愛心\]
974,[哆啦A夢微笑],comments,pos,\[哆啦A夢微笑\]
975,[哆啦A夢吃驚],comments,pos,\[哆啦A夢吃驚\]
976,[傷心],comments,neg,\[傷心\]
977,[航天員],comments,pos,\[航天員\]
978,[熊貓],comments,pos,\[熊貓\]
979,[圍觀],comments,pos,\[圍觀\]
980,[哆啦A夢害怕],comments,neu,\[哆啦A夢害怕\]
981,[來],comments,pos,\[來\]
982,[鋼鐵俠],comments,pos,\[鋼鐵俠\]
983,[吃驚],comments,neu,\[吃驚\]
984,[飛機],comments,pos,\[飛機\]
985,[怒罵],comments,neg,\[怒罵\]
986,[帶著微博去旅行],comments,pos,\[帶著微博去旅行\]
987,[蠟燭],comments,pos,\[蠟燭\]
988,[音樂],comments,pos,\[音樂\]
989,[五仁月餅新],comments,pos,\[五仁月餅新\]
990,[大偵探皮卡丘微笑],comments,pos,\[大偵探皮卡丘微笑\]
991,[哆啦A夢花心],comments,pos,\[哆啦A夢花心\]
992,[錢],comments,pos,\[錢\]
993,[浮雲],comments,pos,\[浮雲\]
994,[男孩兒],comments,pos,\[男孩兒\]
995,[弗萊見錢眼開],comments,pos,\[弗萊見錢眼開\]
996,[圓月],comments,pos,\[圓月\]
997,[美國隊長],comments,pos,\[美國隊長\]
998,[頂],comments,neu,\[頂\]
999,[生而為贏],comments,pos,\[生而為贏\]
1000,[女孩兒],comments,pos,\[女孩兒\]
1001,[蜘蛛俠],comments,pos,\[蜘蛛俠\]
1002,[驚奇隊長],comments,pos,\[驚奇隊長\]
1003,[話筒],comments,pos,\[話筒\]
1004,[掌寶加油],comments,pos,\[掌寶加油\]
1005,[鷹眼],comments,pos,\[鷹眼\]
1006,[奇異博士],comments,pos,\[奇異博士\]
1007,[馬到成功],comments,pos,\[馬到成功\]
1008,[聖誕老人],comments,pos,\[聖誕老人\]
1009,[ali親一個],comments,pos,\[ali親一個\]
1010,[炸雞啤酒],comments,pos,\[炸雞啤酒\]
1011,[米奇飛吻],comments,pos,\[米奇飛吻\]
1012,[牛轟轟擁抱],comments,pos,\[牛轟轟擁抱\]
1013,[紅燈籠],comments,pos,\[紅燈籠\]
1014,[吃狗糧],comments,pos,\[吃狗糧\]
1015,[冰雪奇緣雪寶],comments,pos,\[冰雪奇緣雪寶\]
1016,[米奇愛你],comments,pos,\[米奇愛你\]
1017,[Laughwithtears],comments,pos,\[Laughwithtears\]
1018,[Yummy],comments,pos,\[Yummy\]
1019,[Good],comments,pos,\[Good\]
1020,[Lovely],comments,pos,\[Lovely\]
1021,[Funnyface],comments,pos,\[Funnyface\]
1022,[Loveface],comments,pos,\[Loveface\]
1023,[Thinking],comments,pos,\[Thinking\]
1024,[Blink],comments,pos,\[Blink\]
1025,[Awsl],comments,pos,\[Awsl\]
1026,[Cute],comments,pos,\[Cute\]
1027,[Hehe],comments,pos,\[Hehe\]
1028,[Excited],comments,pos,\[Excited\]
1029,[Ok],comments,pos,\[Ok\]
1030,[Haha],comments,pos,\[Haha\]
1031,[Angel],comments,pos,\[Angel\]
1032,[Thumbsup],comments,pos,\[Thumbsup\]
1033,[Goforit],comments,pos,\[Goforit\]
1034,[Noprob],comments,pos,\[Noprob\]
1035,[Pride],comments,pos,\[Pride\]
1036,[Coolguy],comments,pos,\[Coolguy\]
1037,[Iloveyou],comments,pos,\[Iloveyou\]
1038,[Awesome],comments,pos,\[Awesome\]
1039,[Nosepick],comments,pos,\[Nosepick\]
1040,[Tearingup],comments,neg,\[Tearingup\]
1041,[Mybad],comments,neu,\[Mybad\]
1042,[Brokenheart],comments,neg,\[Brokenheart\]
1043,[Love],comments,pos,\[Love\]
1044,[laughwithtears],comments,pos,\[laughwithtears\]
1045,[happy],comments,pos,\[happy\]
1046,[drool],comments,pos,\[drool\]
1047,[yummy],comments,pos,\[yummy\]
1048,[lovely],comments,pos,\[lovely\]
1049,[scream],comments,neg,\[scream\]
1050,[emm],comments,neu,\[emm\]
1051,[funnyface],comments,pos,\[funnyface\]
1052,[loveface],comments,pos,\[loveface\]
1053,[thinking],comments,pos,\[thinking\]
1054,[blink],comments,pos,\[blink\]
1055,[angry],comments,neg,\[angry\]
1056,[facepalm],comments,pos,\[facepalm\]
1057,[joyful],comments,pos,\[joyful\]
1058,[cute],comments,pos,\[cute\]
1059,[hehe],comments,pos,\[hehe\]
1060,[laugh],comments,pos,\[laugh\]
1061,[excited],comments,pos,\[excited\]
1062,[lol],comments,pos,\[lol\]
1063,[wow],comments,pos,\[wow\]
1064,[smirk],comments,pos,\[smirk\]
1065,[grin],comments,pos,\[grin\]
1066,[hey],comments,pos,\[hey\]
1067,[angel],comments,pos,\[angel\]
1068,[heart],comments,pos,\[heart\]
1069,[rose],comments,pos,\[rose\]
1070,[chuckle],comments,pos,\[chuckle\]
1071,[smart],comments,pos,\[smart\]
1072,[thumbsup],comments,pos,\[thumbsup\]
1073,[party],comments,pos,\[party\]
1074,[respect],comments,pos,\[respect\]
1075,[onlooker],comments,pos,\[onlooker\]
1076,[goforit],comments,pos,\[goforit\]
1077,[blush],comments,neu,\[blush\]
1078,[noprob],comments,pos,\[noprob\]
1079,[shy],comments,pos,\[shy\]
1080,[fireworks],comments,pos,\[fireworks\]
1081,[salute],comments,pos,\[salute\]
1082,[pride],comments,pos,\[pride\]
1083,[whimper],comments,neu,\[whimper\]
1084,[coolguy],comments,pos,\[coolguy\]
1085,[hug],comments,pos,\[hug\]
1086,[kiss],comments,pos,\[kiss\]
1087,[worship],comments,pos,\[worship\]
1088,[twirl],comments,pos,\[twirl\]
1089,[awesome],comments,pos,\[awesome\]
1090,[trick],comments,pos,\[trick\]
1091,[waddle],comments,pos,\[waddle\]
1092,[nosepick],comments,pos,\[nosepick\]
1093,[bye],comments,neu,\[bye\]
1094,[tearingup],comments,neg,\[tearingup\]
1095,[sly],comments,pos,\[sly\]
1096,[mybad],comments,neu,\[mybad\]
1097,[clap],comments,pos,\[clap\]
1098,[blessing],comments,pos,\[blessing\]
1099,[firecracker],comments,pos,\[firecracker\]
1100,[lips],comments,pos,\[lips\]
1101,[gift],comments,pos,\[gift\]
1102,[brokenheart],comments,neg,\[brokenheart\]
1103,[wilt],comments,neg,\[wilt\]
1104,[tongue],comments,pos,\[tongue\]
1105,[sun],comments,pos,\[sun\]
1106,[shake],comments,pos,\[shake\]
1107,[rich],comments,pos,\[rich\]
1108,[love],comments,pos,\[love\]
1109,[toasted],comments,neu,\[toasted\]
1110,[beer],comments,pos,\[beer\]
1111,[watermelon],comments,pos,\[watermelon\]
1112,[coffee],comments,pos,\[coffee\]
1113,[packet],comments,pos,\[packet\]
1114,[fist],comments,pos,\[fist\]
1115,[peace],comments,pos,\[peace\]
1116,微笑R,xiaohongshu,pos,微笑R
1117,色色R,xiaohongshu,pos,色色R
1118,萌萌哒R,xiaohongshu,pos,萌萌哒R
1119,暗中观察R,xiaohongshu,neu,暗中观察R
1120,喝奶茶R,xiaohongshu,pos,喝奶茶R
1121,黄金薯R,xiaohongshu,pos,黄金薯R
1122,买爆R,xiaohongshu,pos,买爆R
1123,生气R,xiaohongshu,neg,生气R
1124,自拍R,xiaohongshu,pos,自拍R
1125,得意R,xiaohongshu,pos,得意R
1126,吧唧R,xiaohongshu,pos,吧唧R
1127,抓狂R,xiaohongshu,neg,抓狂R
1128,叹气R,xiaohongshu,neu,叹气R
1129,吃瓜R,xiaohongshu,pos,吃瓜R
1130,抠鼻R,xiaohongshu,neu,抠鼻R
1131,可怜R,xiaohongshu,neu,可怜R
1132,扶墙R,xiaohongshu,neg,扶墙R
1133,黑薯问号R,xiaohongshu,neu,黑薯问号R
1134,惊恐R,xiaohongshu,neg,惊恐R
1135,鄙视R,xiaohongshu,neu,鄙视R
1136,再见R,xiaohongshu,pos,再见R
1137,睡觉R,xiaohongshu,pos,睡觉R
1138,害羞R,xiaohongshu,pos,害羞R
1139,失望R,xiaohongshu,neu,失望R
1140,汗颜R,xiaohongshu,neu,汗颜R
1141,哇R,xiaohongshu,pos,哇R
1142,偷笑R,xiaohongshu,pos,偷笑R
1143,飞吻R,xiaohongshu,pos,飞吻R
1144,石化R,xiaohongshu,neg,石化R
1145,笑哭R,xiaohongshu,pos,笑哭R
1146,赞R,xiaohongshu,pos,赞R
1147,大笑R,xiaohongshu,pos,大笑R
1148,哭惹R,xiaohongshu,neu,哭惹R
1149,斜眼R,xiaohongshu,pos,斜眼R
1150,皱眉R,xiaohongshu,pos,皱眉R
1151,捂脸R,xiaohongshu,pos,捂脸R
1152,派对R,xiaohongshu,pos,派对R
1153,微笑r,xiaohongshu,pos,微笑r
1154,色色r,xiaohongshu,pos,色色r
1155,萌萌哒r,xiaohongshu,pos,萌萌哒r
1156,暗中观察r,xiaohongshu,neu,暗中观察r
1157,喝奶茶r,xiaohongshu,pos,喝奶茶r
1158,黄金薯r,xiaohongshu,pos,黄金薯r
1159,买爆r,xiaohongshu,pos,买爆r
1160,生气r,xiaohongshu,neg,生气r
1161,自拍r,xiaohongshu,pos,自拍r
1162,得意r,xiaohongshu,pos,得意r
1163,吧唧r,xiaohongshu,pos,吧唧r
1164,抓狂r,xiaohongshu,neg,抓狂r
1165,叹气r,xiaohongshu,neu,叹气r
1166,吃瓜r,xiaohongshu,pos,吃瓜r
1167,抠鼻r,xiaohongshu,neu,抠鼻r
1168,可怜r,xiaohongshu,neu,可怜r
1169,扶墙r,xiaohongshu,neg,扶墙r
1170,黑薯问号r,xiaohongshu,neu,黑薯问号r
1171,惊恐r,xiaohongshu,neg,惊恐r
1172,鄙视r,xiaohongshu,neu,鄙视r
1173,再见r,xiaohongshu,pos,再见r
1174,睡觉r,xiaohongshu,pos,睡觉r
1175,害羞r,xiaohongshu,pos,害羞r
1176,失望r,xiaohongshu,neu,失望r
1177,汗颜r,xiaohongshu,neu,汗颜r
1178,哇r,xiaohongshu,pos,哇r
1179,偷笑r,xiaohongshu,pos,偷笑r
1180,飞吻r,xiaohongshu,pos,飞吻r
1181,石化r,xiaohongshu,neg,石化r
1182,笑哭r,xiaohongshu,pos,笑哭r
1183,赞r,xiaohongshu,pos,赞r
1184,大笑r,xiaohongshu,pos,大笑r
1185,哭惹r,xiaohongshu,neu,哭惹r
1186,斜眼r,xiaohongshu,pos,斜眼r
1187,皱眉r,xiaohongshu,pos,皱眉r
1188,捂脸r,xiaohongshu,pos,捂脸r
1189,派对r,xiaohongshu,pos,派对r
